text,page_number,book,chapter
"    370 NOTES AND ILLUSTRATIONS. [BOoK 1.    78 Abt ’Omar Al-fallés was a famous poet, who flourished towards the end of the fifth century of the  ” Hijra. He was Wizir to one of the Beni Al-afttas, King of Al-gharb (Estremadura).    de Qolie 3 (6) als a dal) abe Las) IY ppally  Op Git LS laoly px ok esd wh, o al,    These verses form part of a long kassidah in praise of Badajoz and its district, by Abi Omar Al-fallés,  which I find in the collection of the works of Sevillian poets to which I have alluded in a former note,  (see Note 21, p. 368.) I there find these two verses, but the first is somewhat altered; it reads—    os » GOL ao ae as all nai Lo LAST I pegalley    *O Badajoz! I shall never forget thee as long as I live: for, by Allah! there are in thy districts  ‘both Ghaur and Nejd.’    Soe    es Ghaur means the province of Teh&mah, or lower region of Arabia, in opposition to Nejd, the    upper or mountainous country. See Niebuhr, Descrip. de [ Arabie, Copenh. 1773, fo. 296. Abi-l-feda  mentions these verses in his description of Batulyaus or Badajoz. See Geog. fo. 46.    29 Ad-dakhirah or Ad-dakhtreh (the treasure) is the title of a historical and biographical work, in  three volumes, by Abd-l-hasan ’Ali Ibn Besém Al-besém{, a native of Santarem, in Portugal, who  died in five hundred and forty-two (a.p. 1147-8). I shall treat more at length about this author and    his writings.    % Ash-shajart means, I suppose, ‘ amber collected from trees,’ from a belief current among the  Arabs that ambergris is a species of wax or gum, which distils from trees and drops into the sea, when it  congeals and becomes a solid body. This opinion has been shared even by learned Europeans. See  Cronstett’s Mineralogy, p. 458.    3\ This bridge is the bridge of Alcantara in Estremadura. It was erected by Trajan on the Tagus,  and it has hitherto resisted both the effects of time and the destructiveness of man. It rises to the  height of two hundred and eleven feet and ten inches above the water; it measures in breadth twenty-  seven feet six inches, and two hundred and sixty-eight feet in length. It rests upon six arches, of which  the two central ones are no less than ninety-four feet wide; a triumphal arch, with an inscription m  honour of Trajan, rises in the centre, and a mausoleum, constructed by the Roman architect for himself,  stands at the extremity towards the town. Alcantara, which means ‘the bridge’ in Arabic, is the  modern name of this town, called by the ancients Norba Caesarea.    32 Dhu-l-wizdrateyn Ibn ’Omar (read Ibn ’Ammér). This is the same individual mentioned in Ash-  shakandi’s epistle, p. 38, and Note 43, Book 1. Chap. ii. Dhvi-l-wizdrateyrn means ‘he who is intrusted  with the two Wizfrates,’ and the title was given to Ibn ’Ammér because he held the office of prime  minister to Al-mu’atamed Ibn ’Abb4d, King of Seville.    % Ibn ’Abdin is the surname of Abi Mohammed ’Abdu-l-majid, who was Wizir to Abi Mohammed  ""Omar Ibn Mohammed Ibn Moslemah, the last King of Badajoz. After the violent death of his",432,,
"    CHAP. I11.] NOTES AND ILLUSTRATIONS. 371    sovereign, who, in four hundred and eighty-seven (a. p. 1094), was, together with his two sons, put  to death by order of Yusuf Ibn T4shf{n, into whose hands he had fallen a prisoner, Ibn ’Abdtin wrote a  beautiful poem to commemorate the tragical events which attended the rise and fall of that dynasty.  Two copies of this poem, with a learned commentary by Abi Merwin ’Abdu-l-malek Ibn Bedrin, the  same individual here mentioned, may be seen in the Esc. Lib., marked Nos. 274 and 1769. There is  likewise a copy of it in the Bodl. Lib. at Oxford. I possess also among my MSS. one entitled Tértkh  Tbni-l-athir, being an historical commentary on this kassidah of Ibn ’Abdiin, which the author, Isma’fl Ibn  Ahmed Ibnu-l-athir, continued down to his own times. See Preface.    Mall g has de Ka LIL ta tay get pal    The author quotes only the first hemistich, as given in the text ; I have since supplied the second from  the MS. in the Bodl. Lib. at Oxford, as well as from my copy of Ibnu-l-athir, which compels me to alter  my translation thus: ‘“ Fortune afflicts (men) first with the calamity itself, afterwards with the memory  “of it; what is the use then of crying over forms and images?”    ®% Abi Mohammed ’Abdullah, of Badajoz, surnamed Ibnu-s-sid, is the same individual mentioned in  Ash-shakandi’s epistle, p. 37, where his name is spelt incorrectly Ibnu-s-seyd.    % The text says ce tefdéh, which, taken in a general sense, means ‘apples ;’ but as it is not credible    that this fruit could ever be grown of the size mentioned by the author, I am led to suppose that some  qualifying adjective has been omitted, although Abi-1l-fedé, who also mentions this circumstance under  the word Lisbon (fo. 46), makes use of the very same expressions. Tefdhu-s-sindf, ‘the apple of Sind,’  means ‘a water melon,’ a fruit which, as is well known, grows to an enormous size in the south of    Spain. From sindf, or sindiyyah, the feminine, the Spaniards have made sandéa, the name which they  give to that fruit.    7 A. reads wi WW) Al-ydhirt B. sys WW) Al-bdkirt. I believe that neither is right, and that  wy - Wi Al-ydkizt ought to be read instead. Al-makkari (in the 6th book, fo. 102, verso), and Makrizi,    in his history of Egypt (Ar. MS. in the Brit. Mus., 7317), speak of an Andalusian Arab, whose name  was Abi ’Abdillah Mohammed Ibn Ibr&him Al-yékizi, who left Spain for the East, and was the bearer  of a copy of the Korén which the Sultén of Maghreb, or western Africa, sent as a present to the  temple at Mekka, and which they represent as being so large that it made the load of a mule. Although  from the date assigned for the death of this Abu ’Abdillah, namely, six hundred and six (a.p. 1209-10),  on his return from his pilgrimage, he cannot be the individual heré alluded to, Al-mu’atamed, the last  King of Seville of the dynasty of Abb&d, having died in four hundred and eighty-eight (a.p. 1095), yet  the fact of both writers (Makrizi and Al-makkar{) giving the spelling of the patronymic Al-ydhizf, which  they derive from Yékiz, a hamlet in the west of Spain, induced me to substitute the reading as above.    ",433,,
"    372 NOTES AND ILLUSTRATIONS. [Book I.    CHAPTER IV.    1 T have already remarked elsewhere that the Arabic word safér, i. e. copper, (in Spanish azofar,)  seems intended for the translation of the Latin word ra, meaning the era of Cesar; and I have stated  my reasons for believing that the original meaning of the word 4/ra was ‘copper money.’ Some writers,  like Masdeu (Hist. Crit. de Espana, Madrid, 1783, vol. xvi. p. 24, et passim) and Casiri (Bib. Ar. Hisp.  Esc. vol. i. p. 296), are of opinion that the word safar is a corruption from the Hebrew Safard,  meaning Spain among the Jews; and, therefore, that whenever that word is used by Mohammedans  it means the Spanish era; but the etymology, although ingenious, is hardly justifiable. Be this as it  may, the era of Cxsar was the general mode of computation in Spain up to the year 1383, when, in  the Cortes held at Segovia by John II. of Castile, it was abrogated, and the Christian era, then  generally followed throughout Europe, substituted for it. (See Medina, Grandezas de Espaia, Alcal4,  1566, fo. 33.) It has often been confounded with the Christian and other eras, thereby giving rise to  many anachronisms. Nicolas Antonio (Bib. Vet. vol. ii. p. 234) mistook it for the era of the  martyrs.   The word safar means also a zero, and is the origin of the words cifra, Sp., and chiffre, Fr.    2 Caesarea Augusta. The resemblance of the word Caesarea to the Arabic word kasr (in Spanish  alcazar), ‘a palace,’ no doubt gave origin to this ridiculous derivation.    8 I think I have discovered the circumstance which gave rise to this popular tradition, which I find  recorded by almost every Arabian geographer who has treated of Spain. They relate that among the  noble Arabs who came in the suite of Musa, when he invaded Spain, there was one who belonged to the  class of the tdbi’s (or followers). His name was Hansh As-sana’fni; he lived and died at Saragossa,    we  where his body is supposed to be interred. Now uae hansh means ‘a snake, a viper, any species of  venomous reptile,’ and it is probable that the Arabs, who consider as saints the as‘hdb (companions) and  the tdbi’s (followers) of their Prophet, believed that the presence of the body of this holy man was a sort  of talisman against reptiles.    we  4 Gla Jelk. According to Abii-l-késim Al-gharnétti, in his commentary on the Makssirah of Hézem    (Arab. MS. in the Brit. Mus., No. 9579, fo. 112), this word, which he spells gis Jellek, was the  name of a place in Syria, famous for the coldness and limpidness of its waters. It was inhabited by a  tribe called the Ra> A) Bent Jafnah, who were the descendants of the Kings of Ghassén or Ghossén.   A. reads bfr (a well), B. nahr (a river); supposing the latter to be the true reading, the author means,  perhaps, the Gallego, a small river which discharges its waters into the Ebro, north of Saragossa. The  Arabs calling the Galicians gi/%o Jelalkah from Gallaici, they may also have called the river Jelek or    Jelak from Gallaicus ; it is, therefore, not improbable that the similarity of the spot, as well as that of  its name, brought to the mind of the conqueror the recollection of his native country. However, I merely    offer this as a conjecture, for, I repeat, although B. calls it a river, both A. and the epitome call it )  (a well). °",434,,
"    CHAP. Iv.] NOTES AND ILLUSTRATIONS. 373    § Aba Ayib Suleymén Ibn Hid Al-jodhami, surnamed Al-must’ain-billah (he who seeks for the help of  God), usurped the kingdom of Saragossa in the year four hundred and thirty-one of the Hijra (a.p. 1039),  the empire remaining in the hands of princes of his family for upwards of a hundred years.   Suleyman did not, properly speaking, revolt against the Beni Umeyyah. When he took possession of  Saragossa by force of arms (four hundred and thirty-one), that city and the territories attached to it  had been for the space of twenty-six years in the hands of a rebel called Al-mundhir Ibn Yahya Ibn  Huseyn At-tojibi, who, on the usurpation of the throne of Cordova by ’Alf, the Berber (a.. four  hundred and five), shook off all allegiance, and declared himself independent in his government.    6 Lerida is sometimes written 3) », 3 and at others § J ¥) It is the ancient Nerda. Twteylah is now    Tudela, in Navarre. Abt-I-fedé (see Geog. fo. 47) describes it as irekw3) Bdare kyde ‘a modern  city built since the times of Islém,’ but that author was mistaken, since it is well known to be the Tutela  of the Romans. Perhaps, as in many other instances, a new city was built by the Arabs close to the  Roman, and with its materials, to which they gave the same name. Turasdénah (now Tarazona) is the  Twriaso of Pliny. Weskah (now Huesca) is the ancient Osca.   Kal’at Ayib is the modern town of Calatayud, but what the author means by Hilo Liv dey ‘and  its city (capital) is Melidnah,’ I cannot guess. Kal’at Aydb, being, as its name sufficiently implies, a  foundation of Ayib Ibn Habib Al-lakhmf, a brother-in-law of Musa Ibn Nosseyr, is generally supposed  to have been built close to the ancient Bilbilis, with the materials of the Roman city. It afterwards  became a city of some importance, and the capital, as now, of a district. An eminence, still called by  the natives Banbola, and a small river close to it known by the same name, are the only relics of the  Roman Municipium of Bilbilis Augusta, so often mentioned by the classics. See Martial, iv. 55, et  passim; Justinus, 3, 13, 44, et passim.   I know of no town in the neighbourhood of Calatayud whose present name bears any resemblance to  Melianah except Molina, which, though likewise in Aragon, is nearly thirty-four miles from Calatayud,  and too far to have formed part of its district: on the other hand, I may not be justified in reading  Molina, since this word x} Ue may equally be read Moliénah, Meliénah, Milid4nah, &c. There was in  Africa a city called Meliana, (See Al-bekri, loco laudato, fo. 61, verso ; Moura’s Karttds, p. 221; and Idrisi,  apud Hartmann, pp. 77, 117, 120, et passim.) It is the same city called Meliana by Leo, p. 516, Miliana  by Marmol, vol. ii. fo. 213, and Maniana or Maliana by Shaw. See Travels, p. 79.   dul 7? Birtdnieh. Thus written. Idrisf makes no mention of this district among those of Aragon.  1 suppose it to be some error of the copyist, but know not what to substitute.   aad, yA Barweskah admits no other interpretation than Bribiesca, the Virovesca of the ancients, and yet  this city not only does not belong to Aragon, since it always made part of Old Castile, but could never have    - 39    - 3  been comprised within the limits of Saragossa. I would rather read i 9 ye Beroshah, or <4 ya)  Boroshak, now Borja, a considerable district to the west of Saragossa. Indeed, one of the MSS. reads  op Boroshk, which sounds something like it.    7 Merwn Ibn ‘Abdillah Ibn ’Abdi-l-’aziz was proclaimed King of Valencia in the month of Shawwil,  a.H. five hundred and thirty-nine (March, a.p. 1145), but scarcely had he reigned two years when he  was deposed by a popular insurrection. After several adventures, differently related by the Arabian  historians, he contrived to escape to Africa, where he fixed his residence in Morocco. See Casiri,",435,,
"    374 NOTES AND ILLUSTRATIONS. [BooK 1:    Bib. Ar. Hisp. Esc. vol. ii. p. 215, and Conde, Hist. de la Dom. vol. ii. pp. 283, 298, et  passim.    8x 5 j Jl This word, which I have written al-arrozah by mere guess, is not to be found in the    dictionaries. Perhaps it ought to be written thus, § 2 red al-azrah, for I find in the history of the  Almoravides and Almohades, by Ibn Séhibi-s-salét (Arab. MS. in the Bodl. Lib., Oxford, Hunt. 464),  that the Sultan Ya’kiib ordered to be brought from Granada to Seville, to be planted in the gardens of    his palace, twigs of plum-trees of the species called by naturalists komthor?, those of another tree called  ’abkar, all sorts of apples, and the fruit tree called al-azrah.    » Rissdfah. This word, in its primitive sense, means ‘a spot paved with flags’ or made flat; hence the  Spanish word arrecife, meaning ‘a causeway.’ The Risséfah was a garden laid out in imitation of  those which ’Abdu-r-rahmén I. planted at Cordova, and which he denominated thus after similar pleasure-  grounds near Damascus. The word may be pronounced either Russdfah or Rissdfak, of both of which  instances occur in Spanish topography. Close to Valencia there is a spot to this day called Ruzdfa,  which, during the sixteenth century, was very much resorted to by the inhabitants of that city for  its pleasantness and salubrious air; and there was also, at a short distance from Cordova, a convent  called San Francisco de la Arrizafa, built, no doubt, on the site of ’Abdu-r-rahm&n’s garden.    © Saie Munyah or Minyah means ‘a garden’ or spot of recreation, and not, as Conde thought, a  fortified place (see his notes to Idrisi’s Geography, p. 154). De Sacy (Chr. Ar. vol. ii. p. 3),  Quatremére (Mémoires sur I’ Egypte, pp. 1, 196), Jaubert, in his translation of Idrisi, and other authors,  have written this word Minyah, but I have followed the former pronunciation, which was undoubtedly  that of the Spanish Arabs, as may be proved by the names of many towns and villages, still existing  in Spain, called Almunia, such as ‘Almunia de Dona Godina,’ ‘ Almunia de San Juan,’ ‘ Almunia  Madrada,’ &c. The gardens alluded to in the text were called Munyatu-bni Abt ’A’mir, because of their    having been planted by ’Abdu-l-’aziz Ibn Abi ’A'mir, King of Valencia, and grandson of the famous  Al-manstr.    The verses at the bottom of the page are as follow :    yt y Get gh Cade oc gees WHS wit,  by rb died blimey LE dee TU yl  SPs ered s tm BL, ets Lie di    3  One of the copies reads 21> instead of .~.25 which would alter the meaning thus:    « ‘ Tell them that she is a garden whose high grounds are a field of battle, but whose valleys are  ‘ nevertheless free from war and famine.’    ""The lake here mentioned is one close to Valencia, to this day called Albifera or Albuhera, a  word derived from § pst Al-buheyruh, which in Arabic means ‘a little sea, or a lake.’    Instead of Al-mitydb, ‘a scent bottle,’ from |b ‘to smell sweet,’ I ought to have written Al-mutyyab  (i.e. the bundle of odoriferous shrubs), for I find in Ibnu-l-abb&r (Arab. MS. in the Nat. Lib. Mad.,",436,,
"    CHAP. Iv.] ' NOTES AND ILLUSTRATIONS. 375    Gg. 12) that such is the meaning of that word. ‘The Andalusians,” says he, “call the city  “of Valencia Al-mutyyab, namely, a bundle made of branches of all sorts of aromatic shrubs  “and plants, such as n> *) daffodil, myrtle, &c., owing to the abundance of its fruit trees and the  “« fragrancy which their bloasoms spread in the atmosphere.” The life of Abi Ja’far Ahmed Ibn  Mohammed Ibn Mos’adeh occurs in my manuscript of Ibnu-l-khattib. He was a native of Granada,  and died at Malaga in six hundred and ninety-nine (a. p. 1299-1300).    '2 The two quotations in verse which the author introduces here are as follow :    pert Lp y Lith he LI ws uel se  igell LE Ys Sell Ua Gant de oly y Cg Baily Gal  oe wy! Tbnu-z-zakkék means ‘the son of the dealer in or maker of water-skins.’ Jj zak (in    Spanish zague) means ‘the skin of a goat prepared to receive liquids.’ The names, patronymic, and  age of this poet are otherwise unknown to me.    ot el LSU! ; iG Lys er il IS) Sy  s8y eet Ube ol 5 ae Late Lie sant p=!  Sly gre re WL te ve Ld ae glare ly, Ls    '3 Shdtibeh or Shdtibah (Xativa) is the Setabis of Pliny. It was already famous in the time of the  Romans for its linen manufactures, and became more so during the middle ages for its paper-mills.   Whether the Spanish Arabs had or had not the honour of introducing into Western Europe the manu-  facture and use of paper has long been a controverted point, but one, in my opinion, easily settled.  There are ir the Escurial Library several MSS. written in Spanish, as early as the tenth century, upon  cotton paper, and specimens of linen paper abound likewise in MSS. of the following age. Idrisi, who  wrote towards the middle of the twelfth century, mentions the city of Xatiba as already famous  for its manufactures of paper (clim. iv. sect. 1), and every thing tends to prove that the Arabs were  the introducers of the use and manufacture of paper into Spain. From the Spanish Arabs this useful  invention passed to their Christian neighbours, among whom paper manufactures were introduced as  early as the close of the thirteenth century by the efforts of King Alfonso X. of Castile, although  it is not uncommon to find in Spain manuscripts of still earlier date written on paper, brought, no  doubt, from the manufactures in the Moslem dominions. Of this number is one written a.p. 1178,  and which, according to Mayans (Mem. Hist.), is preserved in the royal archives of Barcelona. From  Spain the art of making paper passed successively into France, Germany, and +England. Italy was  the last of the European states to receive that beneficial art, the first manufactures ever established  in that country being those of Padua and Treviso, about the middle of the fourteenth century ;  and yet Tiraboschi, a writer who has often been swayed by a partiality for his own country, has  not hesitated to attribute the origin of linen paper manufacture to the Italian Trevigi. See Istoria  della Letteratura Italiana, vol. v. p. 87; Andres, Origine é progressi dogni Letteratura, part i. cap. 10;  and Casiri, Bib. Ar. Hisp. Esc. vol. ii. p. 9.   Abé-1-késim (and Abi Mohammed Késim) Ibn Feyrroh Al-mokri Adh-dharir Ar-ro’ayni was born",437,,
"    376 NOTES AND ILLUSTRATIONS. [Book 1.    in Xativa in five hundred and thirty-eight (1143-4). He resided at Valencia, where he filled the  situation of reader of the Koran in the principal mosque. He also travelled to the East, made his-  pilgrimage, and, on his return from Mekka, settled at Cairo, where he died in JumAd{ 1., five hundred    cree  and ninety (a.p. 1193-4). The word x 15 feyroh, which, according to Ibnu-]-khattib, in the life of  eter    this individual, signifies in Spanish ‘iron’ (ferro), ought to be written with a teshdid on the 2 thus, ss  Seyrroh. The life of this writer may be read in Ibn Khallekén (No. 548, Tyd. Ind). See also De  Sacy’s learned Mémoire inserted in the eighth volume des Notices et Extraits des MSS. de la Bib.  du Roi.   The two works here alluded to lI! i and aie are both poems upon the manner of reading  the Koran. .    4 « The island on the Xucar,’ i.e. Alcira, which is but a corruption of Al-jezirah. The river Xucar,  which waters a considerable portion of the province of Valencia, was called Sucron by the Roman  geographers, and the island formed by it Setabicula. It is situated about twenty miles south of    Valencia.    6 és! © Denia, the Dianium or Artemisium of Pliny and Ptolemy, owing to its famous temple conse-    crated to Diana.    U3 Gig pee peel le pied peg wat I  UBLe Rib OG phe ee phimel y pyeettl UWL    7 This passage being rather obscure, I here give the text: Qdee le AP il BH) Sy de    Ca) B54 oye ger og Gail bugis Cs Yb wal, Lely apse!    Ronda was not comprised in the central, but in the western division; besides, I am not aware that  the castle or citadel commanding that town was ever called Ondak. Ronda is the ancient Arunda.    18 Wéddiu-l-abiadh or Wdda-l-abyddh, now Guadalaviar, with the final d changed into r,—a frequent  corruption in Spanish words derived from the Arabic—means ‘ the white river.’ It is the Turia of ancient  writers, to which the Arabian settlers gave a name of their own, no doubt in remembrance of a river so  called in their native land, for I find that the Syrian Arabs settled in the territory of Murcia, and Abi-  \-fed& (An. Mosl. vol. iii. p. 323) mentions a river also called Wiida-l-abyddh, close to Hamadan in Syria.   The author, however, has fallen into a strange mistake. The river which passes close to Murcia  is not the Guadalaviar, but the Segura, which presents none of the phenomena here ascribed to it.  The Guadalaviar, on the contrary, which discharges its waters into the Mediterranean close to Valencia,  is subject to periodical inundations, which fertilize the territory through which it flows.   pes Tudmfr was the Arabic name for Murcia, but this circumstance being unknown to the  generality of the Spanish writers, the most serious mistakes have been committed, both by historians    and antiquarians. Casiri, who found the words pes oO occurring often in his extracts, translated",438,,
"    CHAP. Iv.] NOTES AND ILLUSTRATIONS. 377    them by ‘land of palms,’ instead of ‘land of Tudmir.’ (See Bib. Ar. Hisp. Esc. vol. ii. pp. 348, 372.)  Conde (Geog. del Nub. p. 189) read Tadmor, and thought that the district round Murcia was so called -  from its being peopled by Arabs from Tadmor or Palmyra. The word Tudmér, which is to be written    oo    thus, peed is meant by the Arabian writers for the name of Theodomir, one of Roderic’s generals,  who having, at the time of the conquest of Spain by the Arabs, obliged them by his bravery and  skill to grant him favourable conditions of peace, was left in possession of the province of Murcia,  which he governed during his lifetime, and which passed afterwards into the hands of his son, Athanagild.  The dominions of this Goth were therefore called Beldd Tudmir (the country of Theodomir), the city  of Murcia (the Murgi of Pomponius Mela), or some other city contiguous to it, where he fixed his  residence, being naturally called Medinah Tudmir (the city of Theodomir), and Hadhrat-Tudmir, the  court or residence of Theodomir.   According to the author of the Audhahu-l-mesdlek (fo. 151, verso), Murcia was entirely built by the  Arabs, with the materials of a Roman city in the neighbourhood. Abi-l-fedé (Geog. fo. 47, verso) says  that this took place during the reign of the Beni Umeyyah at Cordova. See also Ibn Khallekén, at  the life of Abid Bekr Mohammed Ibnu-l-hoseyn (No. 634, Tyd. Ind).    Wy ype Shekirah. The s of the Latins was invariably rendered by a (er among the Arabs.    This is the reason why the Moriscos, who wrote Spanish with Arabic characters, invariably rendered the  Spanish s by their shin, thus, losh hombresh shaben shacar fuershas de falakeza. Segura is the Tader  of Pliny, also called Terebis by Ptolemy, and Serebis (no doubt a corruption from the latter) by Mela.  It is likely that its present name is due to the Arabs, who named it after that chain of mountains where  the river was supposed to rise from the same source as the Guadalquivir.    % SoU styl in B. I read in A. xi WI sty! Al-washyu-th-thilithatu, which, literally trans-    lated, means ‘the triple colour of a robe.’ Perhaps ot ~ maushi, which means ‘a variegated robe,’    is to be substituted, in which case the word thdlithatu might be applied to the number of threads used  in the weaving of the stuff. Murcia had still in the sixteenth century a great number of hands employed  in the weaving of silks on patterns left by the Moors. See Cascales, Discursos Historicos de la Ciudad de  Murcia, ib. 1614, fo. 266, et passim.    a Ul, Wl) Ad-dawdmfs seems to be a plural of the form Juels Sawd il, perhaps from ele  Or uso}. although I have never met with it in the singular. It is a word often used by Al-bekri and  other African writers to designate a certain stone building which stood in the midst of the ruins of    Carthage, and which, by its description, appears to have been a naumachy. See the Mesdlek wa-l-memilek  by that geographer, fo. 39, and p. 489 of the French translation.    22 This account, which is transcribed from Ibnu-l-wardi (see Arab. MS. in the Brit. Mus., 9590,  fo. 16), is also, if I am not mistaken, to be found word for word in Ibn Haukal, probably the first  geographer who, misled by the similarity of the names, mistook the Carthage of Africa for that of Spain.  As the Arabian geographers make no scruple of copying each other servilely, the error has since crept  into many geographical descriptions of Spain which I have perused. It has been adopted by the author    VOL. I. 3c",439,,
"    378 NOTES AND ILLUSTRATIONS. [Book 1.    of the 'Ajdyibu-l-makhlikdt (Arab. MS. in the Brit. Mus., No. 7504, fo. 25), by the writer of the  Tohfatu-l-’ajdyib (ib., No. 7497, fo. 45), and by Ibn Iyds (ib., No. 7508, fo. 10 and 166).    %3 In four hundred and eighty-three of the Hijra (a.p. 1090) the Almoravides, under Ytisuf, subdued  Murcia, together with the districts of Lorca, Alicante, Orihuela, Elche, &c., which Al-mu’atamed Ibn  *Abbad, King of Seville, had snatched from the hands of ’Abdu-r-rahmén Ibn Mohammed, the ruler in  those districts, and added to his own dominions.    74 As-sahlah means ‘a plain or a flat country.’ It was the name of an extensive territory, now called  Corregimiento de Albarracin, which was erected into an independent principality, not by Aba Merwén  ’Abdu-l-malik Ibn Razin, as the author erroneously states, but by his father, Hudheyl Ibn Razin, after the  overthrow of the Umeyyah dynasty. (See Casiri, Bib. Ar. Hisp. Esc. vol. ii. pp. 42, 134, et passim.) The  capital of his states was the city of Santa Maria, which the Arabs called ‘‘Santa Maria Ibn Razin,” to  distinguish it from another city of the same name in the western part of Spain. Hence its present name  of Albarracin. (See a previous note, p. 320, No. 38.) The district of Albarracin was likewise called  Al-kartim and Al-kardtim, owing to the abundance of kirtim (carthamus ceruleus, or bastard satfron,)  which grew on its territory. The Spaniards call it alazor from the Arabic word az-zohor (flowers).         CHAPTER V.    ' The text of all the copies reads ‘’Ali Ibn Misa Ibn Maymiin;’ but I believe that ‘Isa is to be  substituted for Miisa. (See a previous note on the Beni Maymiin, No. 124, p. 360, and the Appendix  B. at the end of this volume.) According to the author of the history of Africa entitled Karttds, the  event here recorded took place in five hundred and forty (a.p. 1145-6); his words are as follow: “In  “this year ’Ali Ibn Isa Ibn Maymiin Al-lamtumni pulled down the idol and tower of Cadiz.”    2 Al-khdliddt (the eternal). These are, to all appearance, the Canaries or Fortunate Islands of the  ancients. Ibnu-l-wardi, loco laudato, fo. 55, says that they are only two. Idrisi says six. See Geog.    elim, i. and ii.    3 I find that Ibnu-l-wardi, /oco laudato, fo. 55, attributes the erection of these towers to Dha-l-menar  Al-himyari, one of the Tabbabahs or Kings of Yemen, whom he identifies with Dhd-l-karneyn  (Alexander), not the king mentioned in the Koran, but the Greek hero.    4 As-sa’idit (the fortunate). This is a remarkable instance of the looseness of Arabic translations  made from the Greek, and the numerous errors thereby introduced into geographical works. It is  evident that by the eternal and the fortunate the same group of islands are designated, only that some  translated fortunate by Gol dle. sa’ddit, and others by Gulls khdliddét. Abt-l-feda, Ibnu Sa’id,  and other geographers, who were not aware of the mistake committed by former writers, tried to  establish a distinction between the two names by applying the first to the Canaries and the second to  the Madeira islands. Others, like Ibn Iy4s, whom Al-makkari follows, thought that sa’dddt was the",440,,
"    CHAP. v.] NOTES AND ILLUSTRATIONS. 379    pame for the British islands. However, Al-bekri (loco laudato, fo. 78, and p. 578 of the French transl.)  calls them re) Gb Zp Fortundtash. Idrisi calls them also Fortundtash, and adds that the meaning of  that word is the same as Sa’idét in Arabic. See edit. of Rome, clim. i. and ii.    The author of the Audhahu-l-mesdlek, fo. 71, verso, quoting the geographer Ibnu Su'id, says that the  ,islands called As-sa’déddt lie between the Khdliddt and the coast of Africa.    u gents Shaltis is the small peninsula formed by the confluence of the rivers Gibraleon and Tinto,  where the town of Huelva stands, about sixty miles west of Seville, for although there is an island  opposite to it called San Francisco de la Rabida, it is too small to have ever contained a city so populous  as Shaltis is represented to have been by the Arabian geographers. (See Idrisi and the writers already  quoted.) In old Spanish maps of the fifteenth and sixteenth centuries this peninsula is called Saltes.  Conde, in his notes to Idrisi’s Geography, pp. 180 and 205, says that Shaltis is for Tarsis, Tartis, or Tartesia,  the country where Argantonio reigned, a fabulous King of Spain who is said to have lived one hundred and  fifty years. I need not labour to show the unsoundness of such a conjecture. The reader will find in the  work of Francis Carter, an English traveller who resided long in Spain, much that is really interesting  and curious upon the Pheenician and Greek settlements along the south-western coast of the Peninsula :  (A Journey from Gibraltar to Malaga, 8vo., London, 1772.) Ondba is now Gibraleon (Jebal-’ayin, or  ‘the mountain of the epring) ;’ Lib/ak (now Niebla) is the ancient Ilipla.    6 There are two authors known by the surname of Ibau-l-labbdnah or labbénah (the son of the milk-  maid) in Casiri’s Bib. Ar. Hisp. Esc. One is Abu Bekr Ebn Alabana, from Denia, (see vol. i. p. 105) ;  the other (ib. p. 128)-is also called Abu Bekr Ben Allabanat, but Cordova is said to be the place of his  birth or residence. They appear to me to be the same person, inasmuch as I find in the Kaldyidu-J-  ‘ikiydin, by Al-fat’h, (Arab. MS. in my possession,) that Jbnu-l-labbdnah resided both at Cordova and at  Denia. His entire name was Abi Bekr ‘Isa, and he was known by the surname of BOL vw!  Tbnu-l-labb&nah : he filled the post of Wizir to Al-mu’atamed Ibn ’Abb&d, King of Seville.    ’  Ae . . . lope  rp gll ate, Kle sLit, oo Lytpb dolpel ad leloty  ” Quy ly Yébisak, from Ebusa or Ebyssa, the ancient name for one of the Balearic islands.    5 The island of Iviza being very woody, the principal industry of the inhabitants consists in making  charcoal, which they ship to Barcelona and other ports of the Mediterranean. Close to it is a smaller  island, called by the ancients Ophiusa, now Formentera. These islands, however, were known among  the Greeks by the collective name of Pytiuse, from mirvs (a pine tree).    ° Barshelénah, from Barshendna (Barcinone). The author of the Audhahu-l-mesclek (loco laudato, p. 53)  writes Barshenona, the alteration of x for /, and vice versd, being frequent among the Arabs. He says    that it was the court of a king called Barshelont, whose subjects were the yias Kabdtalin (Catalonians).    © Barcelona was taken from the Christians by Al-manstir in three hundred and seventy-five (a.p. 984),  but it was soon retaken by the Christians, and, with the greatest part of Catalonia, separated for ever  from the Moslem dominions.",441,,
